ID,ゲーム仕様文,ゲーム仕様が含まれるタイトル,プリンセスメーカー,ベスト競馬・ダービースタリオン,卒業 Graduation,ときめきメモリアル,Jリーグプロサッカークラブをつくろう!,実況パワフルプロ野球3,子育てクイズ マイエンジェル,エターナルメロディ,ゲームで発見!!たまごっち,悠久幻想曲,モンスターファーム,プリメ・ゆめみる妖精,ポケットモンスター ルビー・サファイア,nintendogs,アイドルマスター,ウイニングポストワールド,ドラゴンクエストIX 星空の守り人,ドラゴンクエストモンスターズ ジョーカー2,おさわり探偵 なめこ栽培キット,パズル＆ドラゴンズ,艦これ,パワプロアプリ,刀剣乱舞,Fate/Grand Order,共通していた頻度,第一類似仕様のプレイヤーチェック（10なら置換可能）,BERTによる最も類似しているゲーム仕様文,BERTによる第一類似のスコア,第二類似仕様のプレイヤーチェック（10なら置換可能）,BERTによる第二に類似しているゲーム仕様文,BERTによる第二類似のスコア,第三類似仕様のプレイヤーチェック（10なら置換可能）,BERTによる第三に類似しているゲーム仕様文,BERTによる第三類似のスコア
78,状態異常回復,卒業 Graduation,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,9,異常を回復するコマンド,0.83,9,関係度の効果は、状態異常への変遷,0.83,10,休息コマンドでは状態異常を治療できる,0.82
79,所持金を減らして関係度上昇,卒業 Graduation,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,所持金を増やすコマンド,0.92,0,関係度を増やすイベントで育成対象キャラクターのパラメータが増減,0.92,2,関係度を増やす対象はゲーム進行で増える,0.92
80,育成に悪影響のあるイベントの阻止コマンド,卒業 Graduation,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,特定の育成対象キャラクターでのみ発生するイベントがある,0.91,0,デートして関係度の変動に関わるコマンド,0.9,0,育成対象キャラクターのパラメータによって効果が変動するコマンド,0.9
81,プレイヤーキャラクターの育成コマンド,卒業 Graduation,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,育成対象キャラクターの育成コマンド,0.97,0,育成対象キャラクターのパラメータを確認するコマンド,0.93,0,育成対象キャラクターのパラメータ確認を行うコマンド＋システムメニュー,0.92
82,システムメニュー＋パラメータ確認画面,卒業 Graduation,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,6,9,パラメータはシステムメニューで確認できる,0.93,10,育成対象キャラクターのパラメータ確認を行うコマンド＋システムメニュー,0.92,10,育成キャラクターの各パラメータはメニュー画面から確認できる,0.92
83,メイン画面には所持金が表示されている,卒業 Graduation,1,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,メイン画面には装備アイテムが表示されている,0.98,10,メイン画面では所持金が表示される,0.97,0,メイン画面には日付が表示されている,0.97
84,平日には育成画面が出る,卒業 Graduation,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,育成画面では育成コマンドを選択できる。,0.92,0,メイン画面では育成キャラクターのカメラ切り替えができる,0.91,0,休日にはメイン画面が表示される,0.91
85,育成画面では1人の育成対象キャラクターの育成コマンドを変更できる,卒業 Graduation,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,育成画面では、複数の手番分の育成コマンドが選べる,0.97,0,同時育成している場合は各育成対象キャラクターに個別で育成コマンドを実行できる,0.95,0,育成コマンドのミニゲーム中、結果に応じて育成対象キャラクターの3Dモデルが動く,0.94
86,育成画面では育成コマンドと各育成対象キャラクターのパラメータ各キャラクターの予定が表示されている,卒業 Graduation,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,牧場や厩舎で育成対象キャラクターを選択すると、パラメータ以外の情報や実績が表示される。,0.96,0,育成画面では、育成対象キャラクターのモチベーションが顔文字で表示される。,0.96,10,育成画面には育成対象キャラクターのパラメータが表示されている,0.95
87,育成対象キャラクターのうち1手番で1人の育成予定しか変えられない。残りのキャラクターは自動で予定を決める,卒業 Graduation,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,育成画面では、一人の育成対象キャラクターの育成コマンドを変更できる,0.94,0,育成画面では、複数の手番分の育成コマンドが選べる,0.94,0,ゲームの最初に育成対象キャラクターを選ぶ（10人の育成対象キャラのなかから任意の3人の仲間を選択）。,0.94
88,キャラクターが自動で決める予定にはプレイヤーが選択できない行動も存在する,卒業 Graduation,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,どのパラメータが上昇するかはプレイヤーは任意で選択できない,0.92,0,自動選択コマンドはプレイヤーキャラクターには設定できない,0.92,0,バトルでは選択種類に沿ってAIがコマンドを自動選択するコマンドがある,0.91
89,選べるコマンドには育成コマンドと直近の予定の立て方の変更休息がある,卒業 Graduation,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,育成コマンドは、パラメータの上げ具合とモチベーションの変動、負担の強さを選択して行う。,0.93,0,育成画面では、複数の手番分の育成コマンドが選べる,0.92,0,牧場や厩舎で育成対象キャラクターを選択すると、パラメータ以外の情報や実績が表示される。,0.92
90,育成コマンドはあるパラメータを上げてほかのパラメータを下げる,卒業 Graduation,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,9,ほとんどの育成コマンドはあるパラメータを上げて、ほかのパラメータを下げる,0.99,9,育成コマンドはあるパラメータを上げる。ほかのパラメータを下げることもある。,0.96,9,休息コマンドは、パラメータを下げて、コスト系パラメータを上げる。,0.94
91,育成コマンドは成功と失敗がある,卒業 Graduation,1,0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,8,10,育成コマンドには成功と失敗がある。,0.99,10,育成コマンドには成功失敗がある,0.95,0,装備入手コマンドには成功失敗がある,0.92
92,育成コマンドの成功と失敗の確率は特定パラメータによって決定される,卒業 Graduation,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,関係度を構成するパラメータ値に応じて育成コマンドの成功率が変動する,0.94,0,イベントでは、会話の選択肢によって、関係度が増減する,0.94,0,大成功の発生確率はプレイヤーキャラクターの特定パラメータ値に応じて変動する,0.94
93,育成コマンドに失敗するとパラメータの上昇がなくなる,卒業 Graduation,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,育成コマンドに失敗するとパラメータの上昇が少ないか、なくなる。,0.97,0,アイテムを装備すると育成対象キャラクターのパラメータが上昇する,0.94,0,育成キャラクターは一定レベルに達するとバトル中にわざを実行しなくなる,0.94
94,育成コマンド成功時はキャラクターの立ち絵が表示される,卒業 Graduation,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,育成コマンド失敗時は、立ち絵ではなくSDキャラクターが表示される,0.97,0,育成画面では、育成対象キャラクターのモチベーションが顔文字で表示される。,0.96,0,育成コマンド実行中に、パラメータの増減が表示される。,0.95
95,育成コマンド失敗時は立ち絵ではなくSDキャラクターが表示される,卒業 Graduation,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,育成コマンド成功時は、キャラクターの立ち絵が表示される。,0.97,0,メイン画面では育成対象キャラクターの立ち絵が表示される,0.94,0,育成画面では、育成対象キャラクターのモチベーションが顔文字で表示される。,0.94
96,育成コマンドによっては関係度が増減するものもある,卒業 Graduation,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,イベントでは、会話の選択肢によって、関係度が増減する,0.94,8,育成コマンドによって、育成対象キャラクターのパラメータやモチベーションが変動する。,0.94,0,時期イベントでは、育成対象キャラクターのパラメータによって結果が変わる。,0.94
97,休息コマンドはパラメータを下げてコスト系パラメータを上げる,卒業 Graduation,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,6,10,休息コマンドはパラメータを下げて、コスト系パラメータを回復させる。,0.98,8,休息コマンドは、パラメータと所持金を消費してコスト系パラメータを回復する,0.95,10,モチベーションを回復してコスト系パラメータを減少させる休息コマンド,0.94
98,立ち絵とSDキャラクターは状態によってポーズや表情が変更される,卒業 Graduation,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,コスト系パラメータが減少すると、キャラクターの立ち絵が変化する,0.93,2,育成コマンドの成否によって育成対象キャラクターのワイプの顔が変化する。,0.93,0,メイン画面では育成対象キャラクターの立ち絵が表示される,0.93
99,育成対象キャラクターのパラメータが特定の値を超えると状態異常が起こりやすくなる,卒業 Graduation,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,育成対象キャラクターのパラメータが特定の値を超えると、育成に悪影響のあるイベントが起こりやすくなる。,0.98,9,コスト系パラメータが低い状態で育成コマンドを行なうと、状態異常になる可能性がある。,0.95,9,一定パラメータ値を下回ると育成対象キャラクターが状態異常になる,0.95
100,育成対象キャラクターのパラメータが特定の値を超えると育成に悪影響のあるイベントが起こりやすくなる,卒業 Graduation,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,8,0,育成対象キャラクターのパラメータが特定の値を超えると、状態異常が起こりやすくなる。,0.98,0,コスト系パラメータが低い状態で育成コマンドを行なうと、状態異常になる可能性がある。,0.94,0,牧場や厩舎で育成対象キャラクターを選択すると、パラメータ以外の情報や実績が表示される。,0.94
101,全ての育成コマンドではコスト系パラメータが消費される,卒業 Graduation,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,9,10,全ての育成コマンドでは、コスト系パラメータが消費される。,0.99,9,ほとんどの育成コマンドでは、コスト系パラメータが消費される。,0.98,10,育成コマンドでは、コスト系パラメータが消費される。,0.98
102,キャラクターごとに相性があり同じ育成コマンドを同時にやると効果が増す,卒業 Graduation,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6,0,1手番分の育成コマンドに全て成功したり、パラメータが高いと、よい評価がもらえる。,0.93,0,育成対象キャラクターのパラメータが特定の値を超えると、状態異常が起こりやすくなる。,0.93,0,育成対象キャラクターのパラメータが特定の値を超えると、育成に悪影響のあるイベントが起こりやすくなる。,0.93
103,システムメニューではセーブができる,卒業 Graduation,1,0,1,1,1,0,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,11,0,システムメニューではロードができる,0.98,0,メイン画面ではセーブができる,0.98,10,システムメニューからセーブができる,0.98
104,システムメニューではロードができる,卒業 Graduation,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,システムメニューではセーブができる,0.98,0,メイン画面ではセーブができる,0.96,0,システムメニューからセーブができる,0.95
105,時期イベントがある,卒業 Graduation,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,7,10,季節イベントがある,0.96,7,関係度が増減する季節イベントがある,0.91,9,時期イベントではミニゲームが開始するものがある,0.9
106,時期イベントでは育成対象キャラクターのパラメータによって結果が変わる,卒業 Graduation,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,育成コマンドによって、育成対象キャラクターのパラメータやモチベーションが変動する。,0.97,0,イベントでは育成対象キャラクターのパラメータが変動する,0.97,0,休息コマンドの内容は育成対象キャラクターのパラメータによって変化する。,0.96
107,時期イベントの結果が良いと普段上がりにくいパラメータが上がる,卒業 Graduation,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,10,時期イベントの結果によって、普段は上がりにくいパラメータが上がる。,0.97,0,関係値が高いとマップで珍しいアイテムの入手確率が上がる,0.93,0,育成対象キャラクター同士の相性によって、関係度の初期値と上がりやすさが異なる,0.93
108,夏休みと冬休みの期間には1日ごとに休日のコマンドと関係度が増減するイベントが選べる,卒業 Graduation,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,イベントでは、会話の選択肢によって、関係度が増減する,0.93,0,育成コマンドを実行すると、所持金と経験値を得られ、街の人との関係度が上昇する,0.92,0,育成画面では、複数の手番分の育成コマンドが選べる,0.92
109,イベントでは会話の選択肢によって関係度が増減する,卒業 Graduation,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,10,イベントでは選択肢によって関係度が変化する,0.97,10,会話の選択肢によって関係度が増減する,0.96,5,イベントでは選択肢によってパラメータが変化する,0.96
